118,137,165,130,123,112,77,92,88,109,66,92,82,91,122,140
121,170,137,107,99,67,102,114,111,98,128,141,125,170,140,132
86,81,121,113,96,152,132,93,100,119,155,149,53,77,111,114
101,155,117,163,161,115,102,120,184,141,87,92,103,94,68,158
135,115,145,137,122,115,153,109,111,131,117,115,100,129,137,111
95,104,129,116,126,86,70,113,85,99,147,144,105,152,93,122
151,131,122,143,88,103,118,92,149,114,137,101,78,142,98,85
112,110,97,137,77,103,181,122,119,106,66,159,130,150,113,129
121,116,115,103,79,124,78,139,85,70,107,98,129,105,160,154
130,113,85,98,120,115,128,129,180,135,112,111,136,149,94,89
90,94,88,91,120,111,171,160,90,119,103,128,124,99,87,128
140,88,105,109,87,101,85,143,116,115,146,113,149,57,160,138
136,131,100,85,71,92,124,81,101,56,82,140,122,161,117,122
143,133,155,119,138,79,137,85,97,86,105,119,152,94,158,152
90,123,107,145,149,144,90,118,100,88,124,116,111,97,170,151
109,173,147,48,101,140,134,137,132,79,132,69,77,152,154,126
