131,24,169,164,119,160,179,53,13,169,36,107,143,204,26,15
11,165,71,126,162,107,83,130,230,197,200,22,60,174,148,29
205,30,89,166,59,143,221,161,229,97,183,174,223,7,185,161
205,206,144,149,207,149,37,113,132,202,166,25,142,119,109,168
55,88,190,73,177,112,60,186,73,15,196,181,71,86,170,209
162,169,213,85,109,106,226,227,84,56,203,184,106,156,184,170
86,81,169,197,146,213,223,48,28,11,166,119,109,171,60,195
218,93,208,87,84,111,36,189,155,109,226,65,7,36,67,18
47,167,28,48,227,134,40,103,56,18,116,158,193,67,138,131
48,202,80,203,179,208,97,73,225,152,219,227,179,15,170,160
36,185,78,100,221,77,160,32,229,113,193,45,195,97,10,217
218,125,116,77,207,146,134,48,160,6,169,169,228,216,0,175
72,33,175,211,215,172,1,214,4,26,198,24,25,78,14,98
82,146,24,195,64,69,206,128,56,12,129,71,120,138,222,52
200,138,224,81,92,214,52,204,42,141,55,172,31,188,189,0
2,6,89,26,171,200,97,216,10,103,100,196,58,15,2,29
