199,154,183,159,145,72,13,115,11,8,8,10,31,49,22,99
194,80,148,203,197,109,55,10,14,189,151,149,16,87,51,150
177,85,85,60,155,28,5,44,112,144,17,97,10,5,27,7
7,194,143,56,164,54,2,14,76,104,97,9,161,15,15,194
108,66,58,153,64,164,2,72,171,152,28,92,26,118,1,73
24,204,181,8,10,143,67,57,100,128,145,47,139,110,13,192
137,114,10,7,184,17,50,26,202,16,154,8,171,148,102,105
112,34,169,129,200,105,149,79,42,63,69,20,163,178,132,173
123,209,127,167,183,147,6,84,143,37,50,30,25,127,25,151
155,90,16,58,140,125,85,53,122,115,162,121,194,67,69,63
181,150,150,13,65,107,10,181,147,27,52,200,8,43,58,179
178,92,208,7,28,36,54,118,17,9,21,66,39,51,117,133
78,120,67,179,6,7,62,25,22,13,116,52,105,165,219,8
121,198,108,47,111,89,22,103,36,193,135,172,136,84,191,144
83,194,191,201,156,186,75,146,106,106,130,201,83,156,150,30
193,158,32,77,86,26,144,166,96,192,102,194,168,114,64,124
