168,82,207,109,154,52,137,172,147,26,124,7,10,187,98,151
131,48,197,100,132,172,137,129,168,75,97,35,133,215,35,134
161,101,54,185,75,178,136,117,169,119,204,89,130,152,76,23
2,77,169,147,0,176,10,37,30,10,113,177,26,186,7,123
190,147,52,62,68,29,19,100,79,129,102,54,204,165,69,223
70,135,162,27,144,155,57,155,135,147,129,194,192,102,182,47
107,140,103,38,115,56,111,54,47,186,21,140,55,98,28,39
145,26,60,191,12,36,104,137,19,130,77,67,81,221,171,45
129,188,66,15,65,35,135,200,168,41,110,162,185,27,202,51
52,104,210,18,125,29,2,137,141,1,92,70,227,170,148,229
210,28,10,80,101,34,67,126,103,97,42,198,130,125,34,100
116,208,198,103,82,4,171,194,87,14,97,110,122,139,21,3
75,201,11,21,136,133,200,70,159,94,177,228,223,92,195,134
80,51,49,29,216,34,208,29,12,162,172,114,155,150,24,104
60,126,0,226,51,142,53,34,95,195,41,50,51,49,134,202
19,124,190,70,136,122,8,72,13,212,144,63,137,165,129,105
