170,58,150,15,112,74,10,190,106,197,17,135,230,186,60,10
221,132,99,136,38,124,134,88,92,147,203,131,71,82,45,190
16,130,91,164,170,210,76,5,163,67,134,147,89,100,94,198
125,141,160,136,193,214,136,48,200,120,65,80,66,56,196,60
15,120,123,218,128,212,66,127,203,8,41,218,175,32,34,173
183,209,202,111,65,200,63,76,144,29,99,207,49,134,46,136
28,54,199,116,94,1,62,197,18,112,68,162,197,223,86,99
101,86,206,30,113,14,30,137,157,83,167,95,48,181,194,63
225,47,60,154,43,9,224,126,178,186,135,55,18,200,42,43
222,226,86,28,10,139,79,180,149,175,41,226,155,217,55,95
221,71,211,142,139,148,186,225,86,11,45,49,18,84,13,76
15,174,181,173,185,98,75,133,226,101,23,91,201,82,147,182
193,151,115,211,208,66,122,18,1,104,153,57,185,12,179,62
211,47,171,141,118,27,166,166,198,98,110,117,175,153,145,84
202,166,77,24,180,37,29,164,207,103,11,193,46,222,208,227
66,112,46,224,39,16,139,153,208,121,124,216,43,182,84,94
